Table view
"Stakeholder","Rôle","Objectifs principaux","Tensions avec autres stakeholders"
"Direction générale / CEO","Leadership stratégique et vision globale","Croissance du CA, rentabilité, parts de marché, satisfaction actionnaires","Finance (veut investir vs contrôle des coûts), Marketing (vision long terme vs résultats immédiats), Tech (innovation vs ROI rapide)"
"Direction Marketing","Acquisition et fidélisation clients","Augmenter le trafic, conversions, notoriété de marque, budget campagnes","Finance (demande plus de budget vs réduction coûts), E-commerce (créativité vs contraintes techniques), Logistique (promotions vs capacité stock)"
"Direction E-commerce / Digital","Performance plateforme et expérience utilisateur","Optimiser conversions, UX/UI, parcours client, croissance ventes en ligne","Tech (demandes rapides vs dette technique), Marketing (faisabilité vs créativité), Produit (merchandising vs catalogue complet)"
"Équipe Produit / Catalogue","Gestion assortiment et merchandising","Catalogue complet, qualité fiches produits, assortiment optimal, marge produit","Marketing (produits rentables vs produits d'appel), Logistique (variété vs complexité stock), E-commerce (exhaustivité vs performance site)"
"Équipe Tech / IT","Infrastructure et développements techniques","Stabilité plateforme, sécurité, scalabilité, dette technique maîtrisée","E-commerce (délais développement vs urgences business), Marketing (faisabilité technique vs innovation), Finance (investissements tech vs ROI)"
"Équipe Logistique / Supply Chain","Gestion stocks et livraisons","Optimiser stocks, réduire coûts logistiques, délais livraison, standardisation","Marketing (standardisation vs personnalisation), E-commerce (délais vs promesses clients), Produit (rotation stock vs variété catalogue)"
"Service Client / SAV","Support et satisfaction client","Satisfaction client, réduction réclamations, résolution rapide problèmes","Logistique (qualité livraison vs coûts), E-commerce (clarté infos vs design), Marketing (promesses vs réalité), Partenaires (qualité service vs coûts)"
"Direction Financière / CFO","Contrôle financier et rentabilité","Rentabilité, contrôle coûts, trésorerie, marges, ROI investissements","Marketing (réduction budget vs acquisition), Tech (investissements vs ROI immédiat), CEO (prudence vs croissance rapide), Logistique (coûts vs qualité service)"
"Équipe Data / Analytics","Analyse et insights data-driven","Qualité données, insights actionnables, mesure performance, culture data","Marketing (attribution vs multi-touch), E-commerce (analyse vs action rapide), Toutes équipes (rigueur data vs intuition business)"
"Partenaires logistiques externes","Exécution livraisons et fulfillment","Volume commandes, rentabilité contrats, optimisation tournées","Logistique interne (coûts vs qualité), Service Client (responsabilité incidents), E-commerce (promesses délais vs capacité réelle)"
"Clients finaux","Acheteurs et utilisateurs finaux","Meilleur prix, livraison rapide, expérience fluide, SAV réactif, personnalisation","Finance (prix bas vs marges), Logistique (livraison rapide vs coûts), Marketing (attentes créées vs réalité), Produit (disponibilité vs gestion stock)"
